universe_index,family,taxon,iucn_problem_state,fresh_iucn_threat_reference_present,resolution,checked_at,powo_state,powo_matched_canonical,powo_scientific_name,powo_authorship,powo_taxonomic_status,powo_accepted_name,powo_accepted_id,powo_taxon_id,powo_source_sha256,powo_error,wfo_state,wfo_matched_canonical,wfo_scientific_name,wfo_authorship,wfo_taxonomic_status,wfo_accepted_name,wfo_accepted_id,wfo_taxon_id,wfo_source_sha256,wfo_error,anthos_state,anthos_matched_canonical,anthos_scientific_name,anthos_authorship,anthos_taxonomic_status,anthos_accepted_name,anthos_accepted_id,anthos_taxon_id,anthos_source_sha256,anthos_error
1105,ROSACEAE,Geum sylvaticum,NO_API_TAXON,False,KEEP_TAXONIC_RESPONSE,2026-08-19T17:29:43.538260+00:00,EXACT_CANONICAL_FOUND,Geum sylvaticum,Geum sylvaticum,Pourr.,Accepted,,2949560,2949560,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Geum sylvaticum,Geum sylvaticum,Pourr.,Accepted,,,wfo-0001018549,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_FOUND,Geum sylvaticum,Geum sylvaticum Pourr.,Pourr.,,,,FUND. BIODIVERSIDAD:ANTHOS:1124604,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
1107,IRIDACEAE,Gladiolus communis,NO_API_TAXON,False,KEEP_TAXONIC_RESPONSE,2026-08-19T17:29:43.538271+00:00,EXACT_CANONICAL_FOUND,Gladiolus communis,Gladiolus communis,L.,Accepted,,328322,328322,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Gladiolus communis,Gladiolus communis,L.,Accepted,,,wfo-0000789736,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_FOUND,Gladiolus communis,Gladiolus communis L.,L.,,,,FUND. BIODIVERSIDAD:ANTHOS:35673,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
1109,BORAGINACEAE,Glandora prostrata,NO_API_TAXON,False,KEEP_TAXONIC_RESPONSE,2026-08-19T17:29:43.538280+00:00,EXACT_CANONICAL_FOUND,Glandora prostrata,Glandora prostrata,(Loisel.) D.C.Thomas,Accepted,,2607209,2607209,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Glandora prostrata,Glandora prostrata,(Loisel.) D.C.Thomas,Accepted,,,wfo-0000509318,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_FOUND,Glandora prostrata,Glandora prostrata (Loisel.) D.C. Thomas,(Loisel.) D.C. Thomas,,,,FUND. BIODIVERSIDAD:ANTHOS:1054231,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
1115,PLANTAGINACEAE,Globularia nudicaulis,NO_API_TAXON,False,KEEP_TAXONIC_RESPONSE,2026-08-19T17:29:43.538292+00:00,EXACT_CANONICAL_FOUND,Globularia nudicaulis,Globularia nudicaulis,L.,Accepted,,2826709,2826709,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Globularia nudicaulis,Globularia nudicaulis,L.,Accepted,,,wfo-0000703848,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_FOUND,Globularia nudicaulis,Globularia nudicaulis L.,L.,,,,FUND. BIODIVERSIDAD:ANTHOS:31721,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
1116,PLANTAGINACEAE,Globularia vulgaris,NO_API_TAXON,False,KEEP_TAXONIC_RESPONSE,2026-08-19T17:29:43.538302+00:00,EXACT_CANONICAL_FOUND,Globularia vulgaris,Globularia vulgaris,L.,Accepted,,2826736,2826736,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Globularia vulgaris,Globularia vulgaris,L.,Accepted,,,wfo-0000703876,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_FOUND,Globularia vulgaris,Globularia vulgaris L.,L.,,,,FUND. BIODIVERSIDAD:ANTHOS:31707,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
1121,ASTERACEAE,Gnaphalium luteo-album,NO_API_TAXON,False,NO_RESPONSE_ALL_THREE,2026-08-19T17:29:43.538311+00:00,EXACT_CANONICAL_NOT_FOUND,,,,,,,,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_NOT_FOUND,,,,,,,,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_NOT_FOUND,,,,,,,,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
1124,ORCHIDACEAE,Gymnadenia densiflora,NO_API_TAXON,False,KEEP_TAXONIC_RESPONSE,2026-08-19T17:29:43.538320+00:00,EXACT_CANONICAL_FOUND,Gymnadenia densiflora,Gymnadenia densiflora,(Wahlenb.) A.Dietr.,Accepted,,93653,93653,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Gymnadenia densiflora,Gymnadenia × densiflora,(Wahlenb.) A.Dietr.,Accepted,,,wfo-0000976581,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_NOT_FOUND,,,,,,,,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
1126,CARYOPHYLLACEAE,Gypsophila struthium subsp. hispanica,NO_API_TAXON,False,KEEP_TAXONIC_RESPONSE,2026-08-19T17:29:43.538331+00:00,EXACT_CANONICAL_FOUND,Gypsophila struthium subsp. hispanica,Gypsophila struthium subsp. hispanica,(Willk.) G.López,Accepted,,2836903,2836903,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Gypsophila struthium subsp. hispanica,Gypsophila struthium subsp. hispanica,(Willk.) G.López,Accepted,,,wfo-0000713771,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_FOUND,Gypsophila struthium subsp. hispanica,Gypsophila struthium subsp. hispanica (Willk.) G. López,(Willk.) G. López,,,,FUND. BIODIVERSIDAD:ANTHOS:436567,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
1127,POACEAE,Hainardia cylindrica,NO_API_TAXON,False,KEEP_TAXONIC_RESPONSE,2026-08-19T17:29:43.538391+00:00,EXACT_CANONICAL_FOUND,Hainardia cylindrica,Hainardia cylindrica,(Willd.) Greuter,Synonym,,538882,418285,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Hainardia cylindrica,Hainardia cylindrica,(Willd.) Greuter,Synonym,,wfo-1000035742,wfo-0000873730,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_FOUND,Hainardia cylindrica,Hainardia cylindrica (Willd.) Greuter,(Willd.) Greuter,,,,FUND. BIODIVERSIDAD:ANTHOS:37433,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
1128,CISTACEAE,Halimium umbellatum,NO_API_TAXON,False,KEEP_TAXONIC_RESPONSE,2026-08-19T17:29:43.538405+00:00,EXACT_CANONICAL_FOUND,Halimium umbellatum,Halimium umbellatum,(L.) Spach,Synonym,,2723701,2838282,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Halimium umbellatum,Halimium umbellatum,(L.) Spach,Synonym,,wfo-0000607642,wfo-0000714772,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_FOUND,Halimium umbellatum,Halimium umbellatum (L.) Spach,(L.) Spach,,,,FUND. BIODIVERSIDAD:ANTHOS:1124519,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
