universe_index,family,taxon,issue,detail
280,FABACEAE,Astragalus monspessulanus subsp. gypsophilus,NO_EXACT_TAXON_MATCH,
281,FABACEAE,Astragalus nevadensis subsp. muticus,NO_API_TAXON,
287,ATHYRIACEAE,Athyrium distentifolium,NO_API_TAXON,
296,SOLANACEAE,Atropa belladona,NO_API_TAXON,
299,POACEAE,Avena barbata subsp. barbata,NO_EXACT_TAXON_MATCH,
302,POACEAE,Avena sativa subsp. byzantina,NO_EXACT_TAXON_MATCH,
303,POACEAE,Avena sterilis subsp. ludoviciana,NO_EXACT_TAXON_MATCH,
304,POACEAE,Avena sterilis subsp. sterilis,NO_EXACT_TAXON_MATCH,
306,POACEAE,Avenula pratensis subsp. iberica,NO_API_TAXON,
307,POACEAE,Avenula pratensis var. paniculata,NO_API_TAXON,
308,POACEAE,Avenula pratensis var. vasconica,NO_API_TAXON,
309,POACEAE,Avenula sulcata subsp. sulcata,NO_API_TAXON,
313,LAMIACEAE,Ballota nigra subsp. foetida,NO_EXACT_TAXON_MATCH,
316,OROBANCHACEAE,Bartsia trixago,NO_API_TAXON,
319,AMARANTHACEAE,Bassia scoparia subsp. densiflora,NO_EXACT_TAXON_MATCH,
324,AMARANTHACEAE,Beta vulgaris subsp. vulgaris,NO_EXACT_TAXON_MATCH,
325,BETULACEAE,Betula alba,NO_API_TAXON,
326,BETULACEAE,Betula alba var. alba,NO_API_TAXON,
327,BETULACEAE,Betula alba var. glabrata,NO_API_TAXON,
329,BETULACEAE,Betula pendula var. meridionalis,NO_EXACT_TAXON_MATCH,
332,ASTERACEAE,Bidens aureus,NO_API_TAXON,
333,ASTERACEAE,Bidens cernuus,NO_API_TAXON,
335,ASTERACEAE,Bidens tripartitus,NO_API_TAXON,
337,BRASSICACEAE,Biscutella intermedia,NO_API_TAXON,
338,BRASSICACEAE,Biscutella valentina,NO_API_TAXON,
339,BRASSICACEAE,Biscutella valentina var. laevigata,NO_API_TAXON,
340,BRASSICACEAE,Biscutella valentina var. valentina,NO_API_TAXON,
346,BLECHNACEAE,Blechnum spicant var. spicant,NO_EXACT_TAXON_MATCH,
353,OROBANCHACEAE,Bouardia latisquama,NO_API_TAXON,
356,POACEAE,Brachypodium pinnatum subsp. rupestre,NO_EXACT_TAXON_MATCH,
360,BRASSICACEAE,Brassica nigra,NO_API_TAXON,
361,BRASSICACEAE,Brassica repanda subsp. cantabrica,NO_EXACT_TAXON_MATCH,
362,BRASSICACEAE,Brassica repanda subsp. nudicaulis,NO_EXACT_TAXON_MATCH,
372,POACEAE,Bromus erectus subsp. erectus,NO_EXACT_TAXON_MATCH,
376,POACEAE,Bromus racemosus,NO_API_TAXON,
377,POACEAE,Bromus ramosus,NO_API_TAXON,
384,CARYOPHYLLACEAE,Bufonia tenuifolia,NO_API_TAXON,
386,BORAGINACEAE,Buglossoides arvensis subsp. permixta,NO_EXACT_TAXON_MATCH,
388,APIACEAE,Bupleurum baldense,NO_API_TAXON,
390,APIACEAE,Bupleurum fruticescens,NO_API_TAXON,
393,APIACEAE,Bupleurum praealtum,NO_API_TAXON,
394,APIACEAE,Bupleurum ranunculoides,NO_API_TAXON,
395,APIACEAE,Bupleurum rigidum,NO_API_TAXON,
398,APIACEAE,Bupleurum tenuissimum,NO_API_TAXON,
401,POACEAE,Calamagrostis epigeros,NO_API_TAXON,
403,LAMIACEAE,Calamintha nepeta,NO_API_TAXON,
404,LAMIACEAE,Calamintha nepeta subsp. sylvatica,NO_API_TAXON,
413,CONVOLVULACEAE,Calystegia sepium subsp. sepium,NO_EXACT_TAXON_MATCH,
415,CAMPANULACEAE,Campanula dieckii,NO_API_TAXON,
417,CAMPANULACEAE,Campanula fastigiata,NO_API_TAXON,
419,CAMPANULACEAE,Campanula hispanica,NO_API_TAXON,
420,CAMPANULACEAE,Campanula matritensis,NO_API_TAXON,
422,CAMPANULACEAE,Campanula paui,NO_API_TAXON,
426,CAMPANULACEAE,Campanula rotundifolia subsp. hispanica,NO_EXACT_TAXON_MATCH,
427,CAMPANULACEAE,Campanula scheuchzeri,NO_API_TAXON,
429,CAMPANULACEAE,Campanula urbionensis,NO_API_TAXON,
430,AMARANTHACEAE,Camphorosma monspeliaca,NO_API_TAXON,
436,ASTERACEAE,Carduncellus mitissimus,NO_API_TAXON,
437,ASTERACEAE,Carduncellus monspelliensium,NO_API_TAXON,
438,ASTERACEAE,Carduus assoi,NO_API_TAXON,
439,ASTERACEAE,Carduus bourgeanus,NO_API_TAXON,
440,ASTERACEAE,Carduus carlinoides,NO_API_TAXON,
441,ASTERACEAE,Carduus carpetanus,NO_API_TAXON,
442,ASTERACEAE,Carduus defloratus subsp. medius,NO_API_TAXON,
445,ASTERACEAE,Carduus nutans subsp. nutans,NO_EXACT_TAXON_MATCH,
