universe_index,family,taxon,historical_taxon,effective_identity_state,fresh_iucn_threat_reference_present,resolution,special_interpretation,checked_at,powo_state,powo_matched_canonical,powo_scientific_name,powo_authorship,powo_taxonomic_status,powo_accepted_name,powo_accepted_id,powo_taxon_id,powo_source_sha256,powo_error,wfo_state,wfo_matched_canonical,wfo_scientific_name,wfo_authorship,wfo_taxonomic_status,wfo_accepted_name,wfo_accepted_id,wfo_taxon_id,wfo_source_sha256,wfo_error,anthos_state,anthos_matched_canonical,anthos_scientific_name,anthos_authorship,anthos_taxonomic_status,anthos_accepted_name,anthos_accepted_id,anthos_taxon_id,anthos_source_sha256,anthos_error
183,BRASSICACEAE,Arabis alpina,,UNCHANGED,False,EXACT_SUPPORTED_AT_LEAST_ONE_OFFICIAL_SOURCE,,2026-08-19T20:12:35.247916+00:00,EXACT_CANONICAL_FOUND,Arabis alpina,Arabis alpina,Georgi,Illegitimate,,2645447,2645296,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Arabis alpina,Arabis alpina,L.,Accepted,,,wfo-0000541864,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_FOUND,Arabis alpina,Arabis alpina L.,L.,,,,FUND. BIODIVERSIDAD:ANTHOS:22837,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
184,BRASSICACEAE,Arabis auriculata,,UNCHANGED,False,EXACT_SUPPORTED_AT_LEAST_ONE_OFFICIAL_SOURCE,,2026-08-19T20:12:35.247930+00:00,EXACT_CANONICAL_FOUND,Arabis auriculata,Arabis auriculata,Lam.,Accepted,,2645363,2645363,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Arabis auriculata,Arabis auriculata,Lam.,Accepted,,,wfo-0000541940,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_FOUND,Arabis auriculata,Arabis auriculata Lam.,Lam.,,,,FUND. BIODIVERSIDAD:ANTHOS:22800,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
185,BRASSICACEAE,Arabis hirsuta,,UNCHANGED,False,EXACT_SUPPORTED_AT_LEAST_ONE_OFFICIAL_SOURCE,,2026-08-19T20:12:35.247948+00:00,EXACT_CANONICAL_FOUND,Arabis hirsuta,Arabis hirsuta,DC.,Illegitimate,,2645458,2645682,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Arabis hirsuta,Arabis hirsuta,(L.) Scop.,Accepted,,,wfo-0000542279,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_FOUND,Arabis hirsuta,Arabis hirsuta (L.) Scop.,(L.) Scop.,,,,FUND. BIODIVERSIDAD:ANTHOS:22772,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
186,BRASSICACEAE,Arabis parvula,,UNCHANGED,False,EXACT_SUPPORTED_AT_LEAST_ONE_OFFICIAL_SOURCE,,2026-08-19T20:12:35.247962+00:00,EXACT_CANONICAL_FOUND,Arabis parvula,Arabis parvula,Dufour ex DC.,Accepted,,2646001,2646001,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Arabis parvula,Arabis parvula,Dufour,Accepted,,,wfo-0000542615,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_FOUND,Arabis parvula,Arabis parvula Dufour ex DC.,Dufour ex DC.,,,,FUND. BIODIVERSIDAD:ANTHOS:22811,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
187,BRASSICACEAE,Arabis planisiliqua,,UNCHANGED,False,EXACT_SUPPORTED_AT_LEAST_ONE_OFFICIAL_SOURCE,,2026-08-19T20:12:35.247980+00:00,EXACT_CANONICAL_FOUND,Arabis planisiliqua,Arabis planisiliqua,(Pers.) Rchb.,Accepted,,2646056,2646056,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Arabis planisiliqua,Arabis planisiliqua,Pers. ex Rchb.,Accepted,,,wfo-0000542671,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_FOUND,Arabis planisiliqua,Arabis planisiliqua (Pers.) Rchb.,(Pers.) Rchb.,,,,FUND. BIODIVERSIDAD:ANTHOS:1124944,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
188,BRASSICACEAE,Arabis scabra,,UNCHANGED,False,EXACT_SUPPORTED_AT_LEAST_ONE_OFFICIAL_SOURCE,,2026-08-19T20:12:35.247995+00:00,EXACT_CANONICAL_FOUND,Arabis scabra,Arabis scabra,Gilib.,Invalid,,2645262,2646183,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Arabis scabra,Arabis scabra,Gilib.,Synonym,,wfo-0000541830,wfo-0000542801,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_FOUND,Arabis scabra,Arabis scabra All.,All.,,,,FUND. BIODIVERSIDAD:ANTHOS:492614,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
189,BRASSICACEAE,Arabis serpillifolia,,UNCHANGED,False,EXACT_SUPPORTED_AT_LEAST_ONE_OFFICIAL_SOURCE,,2026-08-19T20:12:35.248012+00:00,EXACT_CANONICAL_FOUND,Arabis serpillifolia,Arabis serpillifolia,Vill.,Accepted,,2646205,2646205,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Arabis serpillifolia,Arabis serpillifolia,Vill.,Accepted,,,wfo-0000542825,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_FOUND,Arabis serpillifolia,Arabis serpillifolia Vill.,Vill.,,,,FUND. BIODIVERSIDAD:ANTHOS:39555,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
190,BRASSICACEAE,Arabis turrita,,UNCHANGED,False,EXACT_SUPPORTED_AT_LEAST_ONE_OFFICIAL_SOURCE,,2026-08-19T20:12:35.248026+00:00,EXACT_CANONICAL_FOUND,Arabis turrita,Arabis turrita,L.,Synonym,,2412466,2646334,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Arabis turrita,Arabis turrita,L.,Synonym,,wfo-0001034902,wfo-0000542965,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_FOUND,Arabis turrita,Arabis turrita L.,L.,,,,FUND. BIODIVERSIDAD:ANTHOS:22788,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
191,ERICACEAE,Arbutus unedo,,UNCHANGED,True,EXACT_SUPPORTED_AT_LEAST_ONE_OFFICIAL_SOURCE,,2026-08-19T20:12:35.248044+00:00,EXACT_CANONICAL_FOUND,Arbutus unedo,Arbutus unedo,L.,Accepted,,2646748,2646748,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Arbutus unedo,Arbutus unedo,L.,Accepted,,,wfo-0000543204,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_FOUND,Arbutus unedo,Arbutus unedo L.,L.,,,,FUND. BIODIVERSIDAD:ANTHOS:660,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
192,SANTALACEAE,Arceuthobium oxycedri,,UNCHANGED,True,EXACT_SUPPORTED_AT_LEAST_ONE_OFFICIAL_SOURCE,,2026-08-19T20:12:35.248059+00:00,EXACT_CANONICAL_FOUND,Arceuthobium oxycedri,Arceuthobium oxycedri,(DC.) M.Bieb.,Accepted,,2646832,2646832,6ff1e084d7e1de5bce526a9952c96fbb0f13b4f2c615b0fc30c055f88bfb5483,,EXACT_CANONICAL_FOUND,Arceuthobium oxycedri,Arceuthobium oxycedri,(DC.) M.Bieb.,Accepted,,,wfo-0000543294,ccfc7e3ca85c8b80aa96eb52d4e50e07e1811d28916b544280d8a4f1a043ba72,,EXACT_CANONICAL_FOUND,Arceuthobium oxycedri,Arceuthobium oxycedri (DC.) M. Bieb.,(DC.) M. Bieb.,,,,FUND. BIODIVERSIDAD:ANTHOS:20462,e6e19630a9415359fba90888864d17313873a984ac79a3677c1d62aac943f991,
