universe_index,family,taxon,iucn_problem_state,phase1_resolution,phase2_state,suggested_taxon,supporting_source_count,parent_taxon,parent_sources,powo_normalized_hits,wfo_normalized_hits,anthos_normalized_hits,top_candidates_json,automatic_correction,automatic_deletion,checked_at
1698,OROBANCHACEAE,Odontites verna subsp. verna,NO_API_TAXON,NO_RESPONSE_ALL_THREE,SINGLE_SOURCE_STRONG_CANDIDATE,Odontites verna subsp. pumila,1,odontites verna,,,,,"[{""source"":""WFO"",""candidate"":""Odontites verna subsp. pumila"",""score"":0.92636,""taxonomic_status"":""Synonym"",""accepted_id"":""wfo-0000388701"",""accepted_name_resolved"":""Odontites vulgaris"",""taxon_id"":""wfo-0001138731""},{""source"":""WFO"",""candidate"":""Odontites verna subsp. litoralis"",""score"":0.92241,""taxonomic_status"":""Synonym"",""accepted_id"":""wfo-0000388601"",""accepted_name_resolved"":""Odontites litoralis"",""taxon_id"":""wfo-0001138730""}]",False,False,2026-08-19T17:37:55.237474+00:00
1700,OROBANCHACEAE,Odontites viscosa,NO_API_TAXON,NO_RESPONSE_ALL_THREE,WEAK_CANDIDATE_REVIEW,Odontites viscosus,3,odontites viscosa,,,,,"[{""source"":""ANTHOS"",""candidate"":""Odontites viscosus"",""score"":0.85143,""taxonomic_status"":"""",""accepted_id"":"""",""accepted_name_resolved"":"""",""taxon_id"":""FUND. BIODIVERSIDAD:ANTHOS:31554""},{""source"":""POWO_WCVP"",""candidate"":""Odontites viscosus"",""score"":0.85143,""taxonomic_status"":""Accepted"",""accepted_id"":""2397095"",""accepted_name_resolved"":""Odontites viscosus"",""taxon_id"":""2397095""},{""source"":""WFO"",""candidate"":""Odontites viscosus"",""score"":0.85143,""taxonomic_status"":""Accepted"",""accepted_id"":"""",""accepted_name_resolved"":"""",""taxon_id"":""wfo-0001316366""}]",False,False,2026-08-19T17:37:55.237510+00:00
1732,ASTERACEAE,Onopordon acanthium,NO_API_TAXON,NO_RESPONSE_ALL_THREE,NO_TAXONOMIC_CANDIDATE,,0,onopordon acanthium,,,,,[],False,False,2026-08-19T17:37:55.237523+00:00
1733,ASTERACEAE,Onopordon corymbosum,NO_API_TAXON,NO_RESPONSE_ALL_THREE,NO_TAXONOMIC_CANDIDATE,,0,onopordon corymbosum,,,,,[],False,False,2026-08-19T17:37:55.237534+00:00
1734,ASTERACEAE,Onopordon nervosum,NO_API_TAXON,NO_RESPONSE_ALL_THREE,NO_TAXONOMIC_CANDIDATE,,0,onopordon nervosum,,,,,[],False,False,2026-08-19T17:37:55.237546+00:00
1833,POLYGONACEAE,Persicaria minus,NO_API_TAXON,NO_RESPONSE_ALL_THREE,NO_TAXONOMIC_CANDIDATE,,0,persicaria minus,,,,,[],False,False,2026-08-19T17:37:55.237761+00:00
1881,ASTERACEAE,Pilosella sp.,UNPARSABLE_NAME,NO_RESPONSE_ALL_THREE,NO_TAXONOMIC_CANDIDATE,,0,pilosella sp,,,,,[],False,False,2026-08-19T17:37:55.237920+00:00
2352,POACEAE,Sesleria argentea subsp. hispanica,NO_EXACT_MATCH,NO_RESPONSE_ALL_THREE,WEAK_CANDIDATE_REVIEW,Sesleria argentea,3,sesleria argentea,powo;wfo;anthos,,,,"[{""source"":""POWO_WCVP"",""candidate"":""Sesleria argentea var. hispanica"",""score"":0.94375,""taxonomic_status"":""Synonym"",""accepted_id"":""441965"",""accepted_name_resolved"":""Sesleria argentea"",""taxon_id"":""441969""},{""source"":""WFO"",""candidate"":""Sesleria argentea var. hispanica"",""score"":0.94375,""taxonomic_status"":""Synonym"",""accepted_id"":""wfo-0000898756"",""accepted_name_resolved"":""Sesleria argentea"",""taxon_id"":""wfo-0000898760""},{""source"":""POWO_WCVP"",""candidate"":""Sesleria argentea subsp. cylindrica"",""score"":0.93955,""taxonomic_status"":""Synonym"",""accepted_id"":""441965"",""accepted_name_resolved"":""Sesleria argentea"",""taxon_id"":""544269""},{""source"":""WFO"",""candidate"":""Sesleria argentea subsp. cylindrica"",""score"":0.93955,""taxonomic_status"":""Synonym"",""accepted_id"":""wfo-0000898756"",""accepted_name_resolved"":""Sesleria argentea"",""taxon_id"":""wfo-1200012499""},{""source"":""POWO_WCVP"",""candidate"":""Sesleria argentea subsp. gomarica"",""score"":0.93769,""taxonomic_status"":""Synonym"",""accepted_id"":""441965"",""accepted_name_resolved"":""Sesleria argentea"",""taxon_id"":""441966""},{""source"":""WFO"",""candidate"":""Sesleria argentea subsp. gomarica"",""score"":0.93769,""taxonomic_status"":""Synonym"",""accepted_id"":""wfo-0000898756"",""accepted_name_resolved"":""Sesleria argentea"",""taxon_id"":""wfo-0000898757""},{""source"":""POWO_WCVP"",""candidate"":""Sesleria argentea var. gomarica"",""score"":0.87857,""taxonomic_status"":""Synonym"",""accepted_id"":""441965"",""accepted_name_resolved"":""Sesleria argentea"",""taxon_id"":""441968""},{""source"":""WFO"",""candidate"":""Sesleria argentea var. gomarica"",""score"":0.87857,""taxonomic_status"":""Synonym"",""accepted_id"":""wfo-0000898756"",""accepted_name_resolved"":""Sesleria argentea"",""taxon_id"":""wfo-0000898759""},{""source"":""ANTHOS"",""candidate"":""Sesleria argentea"",""score"":0.856,""taxonomic_status"":"""",""accepted_id"":"""",""accepted_name_resolved"":"""",""taxon_id"":""FUND. BIODIVERSIDAD:ANTHOS:36477""},{""source"":""POWO_WCVP"",""candidate"":""Sesleria argentea"",""score"":0.856,""taxonomic_status"":""Accepted"",""accepted_id"":""441965"",""accepted_name_resolved"":""Sesleria argentea"",""taxon_id"":""441965""},{""source"":""WFO"",""candidate"":""Sesleria argentea"",""score"":0.856,""taxonomic_status"":""Accepted"",""accepted_id"":"""",""accepted_name_resolved"":"""",""taxon_id"":""wfo-0000898756""}]",False,False,2026-08-19T17:37:55.239930+00:00
2488,ASTERACEAE,Taraxacum gr.,UNPARSABLE_NAME,NO_RESPONSE_ALL_THREE,NO_TAXONOMIC_CANDIDATE,,0,taraxacum gr,,,,,[],False,False,2026-08-19T17:37:55.240154+00:00
2494,ASTERACEAE,Taraxacum sp.,UNPARSABLE_NAME,NO_RESPONSE_ALL_THREE,NO_TAXONOMIC_CANDIDATE,,0,taraxacum sp,,,,,[],False,False,2026-08-19T17:37:55.240168+00:00
