B_SOURCE_RECORD_ID,NOMBRE_RIOJA_VERBATIM,input_MITECO_IDTAXON,reuse_stage,explicit_historical_resolution_signal,exact_name_evidence_count,documented_relation_evidence_count
2111,Rosa nitidula,,EXACT_NAME,True,3,0
2944,Salix eleagnos subsp. angustifolia,,NO_HISTORICAL_REUSE_MATCH,False,0,0
779,Salix purpurea var. lambertiana,,EXACT_NAME,True,3,0
78,Salix salvifolia,,EXACT_NAME,False,4,0
1821,Sanguisorba minor subsp. muricata,,NO_HISTORICAL_REUSE_MATCH,False,0,0
4839,Satureja ascendens,,EXACT_NAME,True,3,0
4082,Scirpus cespitosus subsp. germanicum,,NO_HISTORICAL_REUSE_MATCH,False,0,0
4679,Scorzonera angustifolia var. angustifolia,,NO_HISTORICAL_REUSE_MATCH,False,0,0
2604,Senecio laderoi subsp. laderoi,,EXACT_NAME,True,2,0
2699,Serratula leucantha,,EXACT_NAME,True,3,0
3625,Seseli libanotis subsp. libanotis,,EXACT_NAME,False,4,0
4769,Sesleria argentea subsp. hispanica,,EXACT_NAME,False,5,0
5145,Sesleria caerulea,,EXACT_NAME,True,3,0
5184,Sideritis camarae,,EXACT_NAME,True,3,0
3916,Solidago virgaurea subsp. fallit-tirones,,NO_HISTORICAL_REUSE_MATCH,False,0,0
4898,Sorbus aucuparia subsp. aucuparia,,NO_HISTORICAL_REUSE_MATCH,False,0,0
1941,Sorbus mougeotii,,NO_HISTORICAL_REUSE_MATCH,False,0,0
2231,Stachys officinalis subsp. officinalis,,NO_HISTORICAL_REUSE_MATCH,False,0,0
923,Stachys recta subsp. recta,,EXACT_NAME,True,3,0
1690,Tetragonolobus maritimus var. hirsutus,,NO_HISTORICAL_REUSE_MATCH,False,0,0
4813,Torilis arvensis subsp. arvensis,,EXACT_NAME,True,3,0
945,Trifolium repens subsp. nevadense,,NO_HISTORICAL_REUSE_MATCH,False,0,0
1582,Valerianella lusitanica,,EXACT_NAME,True,3,0
240,Verbascum thapsus subsp. crassifolium,,EXACT_NAME,True,3,0
4923,Veronica austriaca subsp. vahlii,,EXACT_NAME,True,3,0
4640,Vicia amphycarpa,,EXACT_NAME,False,4,0
2372,Vicia pannonica var. purpurascens,,NO_HISTORICAL_REUSE_MATCH,False,0,0
